Patient_ID,Model,WER,CER,Latency (s),Stage_Match,Confidence
TCGA-AJ-A23M,gemini-2.5-flash,117,156.5,15.42824149,FALSE,100
TCGA-A5-A0VO,gemini-2.5-flash,196,359.75,24.03913569,FALSE,95
TCGA-A5-A0R8,gemini-2.5-flash,173,306.75,25.88592243,FALSE,98
TCGA-AJ-A3NG,gemini-2.5-flash,333,539.25,19.40945935,FALSE,0
TCGA-AJ-A3BH,gemini-2.5-flash,252,344.6,17.25032401,FALSE,
TCGA-A5-A2K7,gemini-2.5-flash,244,286.8333333,15.94432282,FALSE,99
TCGA-AJ-A3BF,gemini-2.5-flash,289,513.75,18.54666018,FALSE,95
TCGA-5B-A90C,gemini-2.5-flash,134,133.1428571,17.54867339,FALSE,95
TCGA-AJ-A5DV,gemini-2.5-flash,144,281.5,10.06937742,FALSE,99
TCGA-AJ-A6NU,gemini-2.5-flash,153,281.5,28.3679378,FALSE,95
TCGA-AP-A054,gemini-2.5-flash,248,275.3333333,27.8615284,FALSE,90
TCGA-AJ-A8CV,gemini-2.5-flash,278,552,18.59009218,FALSE,0
TCGA-AJ-A3NF,gemini-2.5-flash,269,492.5,16.92784286,FALSE,99
TCGA-AJ-A2QL,gemini-2.5-flash,315,385.5,18.79072714,FALSE,95
TCGA-AP-A059,gemini-2.5-flash,273,484.75,16.61872172,FALSE,95
TCGA-AJ-A2QM,gemini-2.5-flash,299,362.1666667,18.20715427,FALSE,98
TCGA-AP-A05D,gemini-2.5-flash,252,277.1666667,17.36684012,FALSE,95
TCGA-AJ-A3BD,gemini-2.5-flash,320,591,18.31631494,FALSE,95
TCGA-AJ-A3BI,gemini-2.5-flash,322,407.8333333,12.20145082,FALSE,99
TCGA-A5-A0GN,gemini-2.5-flash,205,237,16.52801299,FALSE,95
TCGA-AP-A0LD,gemini-2.5-flash,284,454.5,22.08325291,FALSE,95
TCGA-AP-A052,gemini-2.5-flash,237,419.25,21.02433228,FALSE,95
TCGA-4E-A92E,gemini-2.5-flash,299,293.3333333,17.8534174,FALSE,95
TCGA-2E-A9G8,gemini-2.5-flash,197,280.2,14.17286944,FALSE,100
TCGA-AJ-A3BG,gemini-2.5-flash,346,621.5,13.06968665,FALSE,99
TCGA-A5-A0GA,gemini-2.5-flash,227,375.25,23.46341038,FALSE,0
TCGA-A5-A0RA,gemini-2.5-flash,163,299,13.97711587,FALSE,100
TCGA-A5-A0GU,gemini-2.5-flash,277,471.5,14.68360639,FALSE,95
TCGA-A5-A0GH,gemini-2.5-flash,267,532.75,15.06562948,TRUE,95
TCGA-A5-A1OH,gemini-2.5-flash,214,236.8571429,22.74529791,FALSE,95
TCGA-AP-A05A,gemini-2.5-flash,240,320.4,22.78250599,FALSE,95
TCGA-AJ-A8CT,gemini-2.5-flash,206,389.5,33.17940235,TRUE,95
TCGA-AJ-A2QN,gemini-2.5-flash,215,397,10.35517001,FALSE,99
TCGA-AP-A05H,gemini-2.5-flash,203,396.75,15.81117201,FALSE,95
TCGA-5S-A9Q8,gemini-2.5-flash,417,451.6666667,23.75432873,TRUE,95
TCGA-AP-A051,gemini-2.5-flash,238,390,24.77012253,FALSE,95
TCGA-A5-A0G1,gemini-2.5-flash,245,402.6,23.45889854,TRUE,95
TCGA-AJ-A2QO,gemini-2.5-flash,270,450,12.62021756,FALSE,100
TCGA-A5-A0R6,gemini-2.5-flash,347,409.1666667,9.00853467,FALSE,95
TCGA-A5-A0R7,gemini-2.5-flash,206,384.5,23.43375659,TRUE,95
TCGA-A5-A0R9,gemini-2.5-flash,190,351.75,17.87499189,FALSE,0
TCGA-AP-A056,gemini-2.5-flash,251,426.75,18.71305871,FALSE,98
