file,stats
TCGA-A5-A0GH,"{1: {'mean_probability': 0.9767708553382928, 'mean_log_probability': -0.04052817989016869, 'perplexity': 1.0413606547179217, 'min_probability': 0.03685414046049118, 'chars': 2088, 'words': 264}, 2: {'mean_probability': 0.9947525112100342, 'mean_log_probability': -0.007182238842126373, 'perplexity': 1.0072080929793177, 'min_probability': 0.35307762026786804, 'chars': 3096, 'words': 490}, 3: {'mean_probability': 0.9959740217804909, 'mean_log_probability': -0.008589236791302187, 'perplexity': 1.0086262301246098, 'min_probability': 0.05155397206544876, 'chars': 2161, 'words': 345}, 4: {'mean_probability': 0.9157325749522915, 'mean_log_probability': -0.18342636648382576, 'perplexity': 1.2013265042602974, 'min_probability': 0.016470791772007942, 'chars': 917, 'words': 123}}"
TCGA-A5-A0GI,"{1: {'mean_probability': 0.9741391724847985, 'mean_log_probability': -0.05278171163556609, 'perplexity': 1.0541995005165705, 'min_probability': 0.02165660448372364, 'chars': 2425, 'words': 314}, 2: {'mean_probability': 0.9968120134617696, 'mean_log_probability': -0.004980977038655256, 'perplexity': 1.004993402726908, 'min_probability': 0.15761204063892365, 'chars': 2614, 'words': 387}, 3: {'mean_probability': 0.9980413151885739, 'mean_log_probability': -0.004124150538495627, 'perplexity': 1.0041326665504082, 'min_probability': 0.05280120298266411, 'chars': 3478, 'words': 593}, 4: {'mean_probability': 0.9946283201343127, 'mean_log_probability': -0.010212991483334698, 'perplexity': 1.0102653220797753, 'min_probability': 0.055312253534793854, 'chars': 2487, 'words': 421}, 5: {'mean_probability': 0.9567883912944188, 'mean_log_probability': -0.08095909525403039, 'perplexity': 1.084326541557871, 'min_probability': 0.015249254181981087, 'chars': 1498, 'words': 210}}"
TCGA-A5-A0GJ,"{1: {'mean_probability': 0.9800341521774459, 'mean_log_probability': -0.03259535454807614, 'perplexity': 1.033132402320575, 'min_probability': 0.0817788764834404, 'chars': 2236, 'words': 302}, 2: {'mean_probability': 0.9936272715455534, 'mean_log_probability': -0.013884768770065847, 'perplexity': 1.0139816098582555, 'min_probability': 0.049683619290590286, 'chars': 2286, 'words': 361}, 3: {'mean_probability': 0.990712859544195, 'mean_log_probability': -0.017172091346261298, 'perplexity': 1.0173203792955658, 'min_probability': 0.05701315775513649, 'chars': 3476, 'words': 583}, 4: {'mean_probability': 0.9935867941654983, 'mean_log_probability': -0.013611433613821907, 'perplexity': 1.013704490911397, 'min_probability': 0.025284795090556145, 'chars': 3011, 'words': 521}, 5: {'mean_probability': 0.8912435892684075, 'mean_log_probability': -0.23527693195877844, 'perplexity': 1.2652591109041258, 'min_probability': 0.008844048716127872, 'chars': 2727, 'words': 408}}"
TCGA-A5-A0GM,"{1: {'mean_probability': 0.9778439368479931, 'mean_log_probability': -0.03725723157188834, 'perplexity': 1.0379599825790669, 'min_probability': 0.04848393425345421, 'chars': 2290, 'words': 328}, 2: {'mean_probability': 0.9904896937188887, 'mean_log_probability': -0.014827835427712488, 'perplexity': 1.014938313152563, 'min_probability': 0.10374077409505844, 'chars': 2557, 'words': 412}, 3: {'mean_probability': 0.9949503719330738, 'mean_log_probability': -0.011039606357688378, 'perplexity': 1.011100767670355, 'min_probability': 0.02468145079910755, 'chars': 3966, 'words': 667}, 4: {'mean_probability': 0.9728923870740752, 'mean_log_probability': -0.04831556309565751, 'perplexity': 1.0495017871080752, 'min_probability': 0.053623054176568985, 'chars': 2160, 'words': 339}}"
TCGA-A5-A0GN,"{1: {'mean_probability': 0.9682561204954216, 'mean_log_probability': -0.06890150316856268, 'perplexity': 1.071330681273824, 'min_probability': 0.018915511667728424, 'chars': 1724, 'words': 200}, 2: {'mean_probability': 0.9934531255753455, 'mean_log_probability': -0.009735958250759515, 'perplexity': 1.0097835068774934, 'min_probability': 0.270945280790329, 'chars': 1796, 'words': 284}, 3: {'mean_probability': 0.9990136564101051, 'mean_log_probability': -0.0016482857070472786, 'perplexity': 1.0016496448765972, 'min_probability': 0.2084205001592636, 'chars': 4256, 'words': 714}, 4: {'mean_probability': 0.9980557292245616, 'mean_log_probability': -0.00339940362163125, 'perplexity': 1.0034051881469108, 'min_probability': 0.13128498196601868, 'chars': 2816, 'words': 491}, 5: {'mean_probability': 0.9508500023842302, 'mean_log_probability': -0.08954105572636056, 'perplexity': 1.0936722338985945, 'min_probability': 0.03764696791768074, 'chars': 635, 'words': 84}}"
TCGA-A5-A0GP,"{1: {'mean_probability': 0.9742480234328842, 'mean_log_probability': -0.05124640980050909, 'perplexity': 1.0525822279073933, 'min_probability': 0.042859893292188644, 'chars': 1762, 'words': 242}, 2: {'mean_probability': 0.9969153233331527, 'mean_log_probability': -0.004701869506082073, 'perplexity': 1.004712940639382, 'min_probability': 0.27319324016571045, 'chars': 2591, 'words': 448}, 3: {'mean_probability': 0.9829130638868381, 'mean_log_probability': -0.024518080049642243, 'perplexity': 1.0248211197564183, 'min_probability': 0.27062666416168213, 'chars': 836, 'words': 112}}"
TCGA-A5-A0GQ,"{1: {'mean_probability': 0.9662942861442125, 'mean_log_probability': -0.06341092919192308, 'perplexity': 1.065464579783753, 'min_probability': 0.013723099604249, 'chars': 2021, 'words': 273}, 2: {'mean_probability': 0.8770469501472601, 'mean_log_probability': -0.2899586528569262, 'perplexity': 1.33637223170927, 'min_probability': 0.010051400400698185, 'chars': 3806, 'words': 602}}"
TCGA-A5-A0GR,"{1: {'mean_probability': 0.9612534102305625, 'mean_log_probability': -0.08220964376840295, 'perplexity': 1.0856833927307916, 'min_probability': 0.008505398407578468, 'chars': 1640, 'words': 232}, 2: {'mean_probability': 0.9975495393194208, 'mean_log_probability': -0.005434362651338366, 'perplexity': 1.0054491555846332, 'min_probability': 0.1053614690899849, 'chars': 3323, 'words': 561}, 3: {'mean_probability': 0.996941508790746, 'mean_log_probability': -0.0058015818718092265, 'perplexity': 1.0058184436404563, 'min_probability': 0.15512022376060486, 'chars': 2201, 'words': 360}, 4: {'mean_probability': 0.9713557286739699, 'mean_log_probability': -0.05121456895628364, 'perplexity': 1.052548713334209, 'min_probability': 0.04683895409107208, 'chars': 1491, 'words': 207}}"
TCGA-A5-A0GU,"{1: {'mean_probability': 0.9729736025411109, 'mean_log_probability': -0.050168334677460874, 'perplexity': 1.0514480766524974, 'min_probability': 0.04439748823642731, 'chars': 1941, 'words': 274}, 2: {'mean_probability': 0.9986182077593674, 'mean_log_probability': -0.0019949703337442588, 'perplexity': 1.00199696161102, 'min_probability': 0.3636170029640198, 'chars': 3457, 'words': 563}, 3: {'mean_probability': 0.9316315545092902, 'mean_log_probability': -0.1589071813098238, 'perplexity': 1.1722291368579336, 'min_probability': 0.018324868753552437, 'chars': 1516, 'words': 213}}"
TCGA-A5-A0GV,"{1: {'mean_probability': 0.9770855326732656, 'mean_log_probability': -0.04296835603868638, 'perplexity': 1.0439048610429171, 'min_probability': 0.041033416986465454, 'chars': 2411, 'words': 301}, 2: {'mean_probability': 0.9977503319333245, 'mean_log_probability': -0.0038591282540651087, 'perplexity': 1.0038665842776708, 'min_probability': 0.10419033467769623, 'chars': 3454, 'words': 576}, 3: {'mean_probability': 0.9964140781549492, 'mean_log_probability': -0.005230987556484447, 'perplexity': 1.005244693059243, 'min_probability': 0.22768566012382507, 'chars': 1924, 'words': 332}, 4: {'mean_probability': 0.8632674450639654, 'mean_log_probability': -0.3056108176977323, 'perplexity': 1.3574539066959963, 'min_probability': 0.025536611676216125, 'chars': 936, 'words': 119}}"
TCGA-A5-A0GW,"{1: {'mean_probability': 0.985157783217197, 'mean_log_probability': -0.024558028184186228, 'perplexity': 1.024862060266137, 'min_probability': 0.10801392793655396, 'chars': 1488, 'words': 212}, 2: {'mean_probability': 0.9925740094686698, 'mean_log_probability': -0.012194968714423993, 'perplexity': 1.0122696305362429, 'min_probability': 0.11756910383701324, 'chars': 1875, 'words': 298}, 3: {'mean_probability': 0.9885900468888508, 'mean_log_probability': -0.01894071764248316, 'perplexity': 1.0191212309174096, 'min_probability': 0.09508096426725388, 'chars': 1079, 'words': 169}, 4: {'mean_probability': 0.9853789201582682, 'mean_log_probability': -0.02779426365699747, 'perplexity': 1.0281841278173398, 'min_probability': 0.05773372948169708, 'chars': 1014, 'words': 164}, 5: {'mean_probability': 0.9911863867908631, 'mean_log_probability': -0.015873692631374576, 'perplexity': 1.0160003489707456, 'min_probability': 0.146182581782341, 'chars': 1107, 'words': 174}, 6: {'mean_probability': 0.9295499696353682, 'mean_log_probability': -0.12972745495004723, 'perplexity': 1.1385180435787028, 'min_probability': 0.07520779222249985, 'chars': 642, 'words': 67}}"
TCGA-A5-A0GX,"{1: {'mean_probability': 0.9801288569062023, 'mean_log_probability': -0.036860038128599885, 'perplexity': 1.0375477935444006, 'min_probability': 0.044707391411066055, 'chars': 2554, 'words': 353}, 2: {'mean_probability': 0.9965809824800197, 'mean_log_probability': -0.005252306416589093, 'perplexity': 1.0052661239586655, 'min_probability': 0.15730486810207367, 'chars': 2410, 'words': 312}, 3: {'mean_probability': 0.9958252959037509, 'mean_log_probability': -0.007598344991480925, 'perplexity': 1.0076272856687656, 'min_probability': 0.05043831840157509, 'chars': 5612, 'words': 926}, 4: {'mean_probability': 0.9753116455126403, 'mean_log_probability': -0.04781519435504253, 'perplexity': 1.0489767805799681, 'min_probability': 0.033797767013311386, 'chars': 1972, 'words': 312}}"
TCGA-A5-A0R6,"{1: {'mean_probability': 0.9713708725067668, 'mean_log_probability': -0.05748162017243022, 'perplexity': 1.059165803190998, 'min_probability': 0.04244610294699669, 'chars': 1439, 'words': 204}, 2: {'mean_probability': 0.9970604161958436, 'mean_log_probability': -0.003304203796338814, 'perplexity': 1.0033096686950913, 'min_probability': 0.7178996205329895, 'chars': 1322, 'words': 206}, 3: {'mean_probability': 0.9976602150520808, 'mean_log_probability': -0.003024872759349659, 'perplexity': 1.0030294523033032, 'min_probability': 0.41437384486198425, 'chars': 1862, 'words': 302}, 4: {'mean_probability': 0.9836375113461435, 'mean_log_probability': -0.03398429220646033, 'perplexity': 1.0345683558143495, 'min_probability': 0.036721862852573395, 'chars': 1093, 'words': 170}}"
TCGA-A5-A0R7,"{1: {'mean_probability': 0.9769678262904221, 'mean_log_probability': -0.03933408544370984, 'perplexity': 1.040117913866002, 'min_probability': 0.072553850710392, 'chars': 1525, 'words': 204}, 2: {'mean_probability': 0.9935171728632057, 'mean_log_probability': -0.008544019285278235, 'perplexity': 1.0085806235930879, 'min_probability': 0.35078704357147217, 'chars': 957, 'words': 142}, 3: {'mean_probability': 0.9837892768157404, 'mean_log_probability': -0.030370334138549303, 'perplexity': 1.0308362171164531, 'min_probability': 0.06915178149938583, 'chars': 2136, 'words': 370}, 4: {'mean_probability': 0.9934783847311337, 'mean_log_probability': -0.012983590521038627, 'perplexity': 1.0130682433013887, 'min_probability': 0.05971403419971466, 'chars': 2527, 'words': 1027}}"
TCGA-A5-A0R8,"{1: {'mean_probability': 0.9785428219558006, 'mean_log_probability': -0.0388701370383987, 'perplexity': 1.0396354647429327, 'min_probability': 0.034140247851610184, 'chars': 1211, 'words': 173}, 2: {'mean_probability': 0.9977937499873365, 'mean_log_probability': -0.00331557854415942, 'perplexity': 1.0033210811544655, 'min_probability': 0.1955142468214035, 'chars': 2871, 'words': 498}, 3: {'mean_probability': 0.9978186891483334, 'mean_log_probability': -0.004957180310139822, 'perplexity': 1.0049694874562973, 'min_probability': 0.06635192036628723, 'chars': 2778, 'words': 449}, 4: {'mean_probability': 0.9677572911475889, 'mean_log_probability': -0.06458412434436271, 'perplexity': 1.0667153111964092, 'min_probability': 0.02421170473098755, 'chars': 2273, 'words': 343}}"
TCGA-A5-A0R9,"{1: {'mean_probability': 0.9824670965374174, 'mean_log_probability': -0.02762332298172721, 'perplexity': 1.02800838434951, 'min_probability': 0.05107229948043823, 'chars': 1445, 'words': 198}, 2: {'mean_probability': 0.9826224566153858, 'mean_log_probability': -0.02460293356756318, 'perplexity': 1.024908083123191, 'min_probability': 0.36745789647102356, 'chars': 481, 'words': 65}, 3: {'mean_probability': 0.981890222004734, 'mean_log_probability': -0.036306473774137156, 'perplexity': 1.036973603010212, 'min_probability': 0.03238648548722267, 'chars': 1162, 'words': 161}, 4: {'mean_probability': 0.9937220732910682, 'mean_log_probability': -0.014489725595330431, 'perplexity': 1.0145952105360776, 'min_probability': 0.0282976683229208, 'chars': 2417, 'words': 315}, 5: {'mean_probability': 0.9938229055146967, 'mean_log_probability': -0.009054384614007293, 'perplexity': 1.0090954995508405, 'min_probability': 0.23804886639118195, 'chars': 2207, 'words': 307}, 6: {'mean_probability': 0.9988765290966539, 'mean_log_probability': -0.0016962974014683363, 'perplexity': 1.0016977369277453, 'min_probability': 0.32684609293937683, 'chars': 2873, 'words': 466}, 7: {'mean_probability': 0.9993737424362679, 'mean_log_probability': -0.000756418596326996, 'perplexity': 1.0007567047530204, 'min_probability': 0.6189153790473938, 'chars': 2874, 'words': 486}, 8: {'mean_probability': 0.9798339428380132, 'mean_log_probability': -0.037121160966809744, 'perplexity': 1.0378187563447776, 'min_probability': 0.04105906933546066, 'chars': 1947, 'words': 287}}"
TCGA-A5-A0RA,"{1: {'mean_probability': 0.9483188229165808, 'mean_log_probability': -0.09255969184195197, 'perplexity': 1.0969786202804384, 'min_probability': 0.05388649180531502, 'chars': 1278, 'words': 171}, 2: {'mean_probability': 0.9938015073915071, 'mean_log_probability': -0.013851865431940632, 'perplexity': 1.0139482470273709, 'min_probability': 0.026142552495002747, 'chars': 2473, 'words': 339}, 3: {'mean_probability': 0.996372436385538, 'mean_log_probability': -0.006238200826948066, 'perplexity': 1.0062576989249914, 'min_probability': 0.1262674629688263, 'chars': 2616, 'words': 447}, 4: {'mean_probability': 0.9986445559395685, 'mean_log_probability': -0.0017860563907835243, 'perplexity': 1.001787652339509, 'min_probability': 0.43623173236846924, 'chars': 2763, 'words': 479}, 5: {'mean_probability': 0.9635880994872096, 'mean_log_probability': -0.07341568888601929, 'perplexity': 1.0761777990977692, 'min_probability': 0.023640664294362068, 'chars': 1084, 'words': 148}}"
TCGA-A5-A0VO,"{1: {'mean_probability': 0.9532391828351787, 'mean_log_probability': -0.0957291907477766, 'perplexity': 1.1004610086148794, 'min_probability': 0.023033101111650467, 'chars': 2049, 'words': 207}, 2: {'mean_probability': 0.9895720336884538, 'mean_log_probability': -0.018946817785315095, 'perplexity': 1.019127447721443, 'min_probability': 0.03471546620130539, 'chars': 1753, 'words': 251}, 3: {'mean_probability': 0.9961908364501617, 'mean_log_probability': -0.007804507168915635, 'perplexity': 1.0078350417190056, 'min_probability': 0.07978256791830063, 'chars': 2694, 'words': 457}, 4: {'mean_probability': 0.998578676113482, 'mean_log_probability': -0.0019818169849892668, 'perplexity': 1.0019837820822102, 'min_probability': 0.40373948216438293, 'chars': 2347, 'words': 393}, 5: {'mean_probability': 0.9888196911088668, 'mean_log_probability': -0.019226094369044974, 'perplexity': 1.0194121059007597, 'min_probability': 0.05121946707367897, 'chars': 2622, 'words': 457}, 6: {'mean_probability': 0.9854417247207541, 'mean_log_probability': -0.020647239908786, 'perplexity': 1.020861868786246, 'min_probability': 0.24712680280208588, 'chars': 750, 'words': 105}}"
TCGA-A5-A0VP,"{1: {'mean_probability': 0.9584950374790863, 'mean_log_probability': -0.09108253262408321, 'perplexity': 1.0953594044139348, 'min_probability': 0.02195090986788273, 'chars': 1612, 'words': 226}, 2: {'mean_probability': 0.9920823854045011, 'mean_log_probability': -0.014253047569270788, 'perplexity': 1.0143551065591867, 'min_probability': 0.0543176494538784, 'chars': 1577, 'words': 216}, 3: {'mean_probability': 0.9961336448046918, 'mean_log_probability': -0.006838676121017428, 'perplexity': 1.0068621132624402, 'min_probability': 0.0547354482114315, 'chars': 3049, 'words': 497}, 4: {'mean_probability': 0.9973763197898547, 'mean_log_probability': -0.003765348354868027, 'perplexity': 1.0037724461847894, 'min_probability': 0.24405603110790253, 'chars': 2603, 'words': 413}, 5: {'mean_probability': 0.9936916353086294, 'mean_log_probability': -0.01012945302039902, 'perplexity': 1.0101809295926698, 'min_probability': 0.16772286593914032, 'chars': 2264, 'words': 359}}"
TCGA-A5-A0VQ,"{1: {'mean_probability': 0.9531881687779331, 'mean_log_probability': -0.100179709306893, 'perplexity': 1.1053695454223902, 'min_probability': 0.03036615066230297, 'chars': 1398, 'words': 174}, 2: {'mean_probability': 0.9851129191044254, 'mean_log_probability': -0.029601099733667674, 'perplexity': 1.030043567338275, 'min_probability': 0.016618451103568077, 'chars': 1703, 'words': 258}, 3: {'mean_probability': 0.9833083337208011, 'mean_log_probability': -0.028052029333694883, 'perplexity': 1.0284491925556445, 'min_probability': 0.15436281263828278, 'chars': 1057, 'words': 146}, 4: {'mean_probability': 0.9908176040933365, 'mean_log_probability': -0.01987526523570754, 'perplexity': 1.0200740933892813, 'min_probability': 0.03517305478453636, 'chars': 2053, 'words': 347}, 5: {'mean_probability': 0.9918084829631779, 'mean_log_probability': -0.016656007311884102, 'perplexity': 1.0167954919446058, 'min_probability': 0.06628575921058655, 'chars': 1016, 'words': 169}, 6: {'mean_probability': 0.9806888149971635, 'mean_log_probability': -0.031070234028720344, 'perplexity': 1.0315579518131524, 'min_probability': 0.1899416595697403, 'chars': 908, 'words': 125}, 7: {'mean_probability': 0.978127440190818, 'mean_log_probability': -0.0479483587841123, 'perplexity': 1.049116476275104, 'min_probability': 0.04954812303185463, 'chars': 958, 'words': 136}}"
TCGA-A5-A1OF,"{1: {'mean_probability': 0.9874891617666631, 'mean_log_probability': -0.01776238700495972, 'perplexity': 1.0179210763759663, 'min_probability': 0.0868786871433258, 'chars': 1608, 'words': 219}, 2: {'mean_probability': 0.9646934787353624, 'mean_log_probability': -0.0882865553113816, 'perplexity': 1.09230108186254, 'min_probability': 0.023317977786064148, 'chars': 1421, 'words': 173}, 3: {'mean_probability': 0.9914514332735885, 'mean_log_probability': -0.011824883975740712, 'perplexity': 1.0118950743075958, 'min_probability': 0.16814075410366058, 'chars': 2183, 'words': 337}, 4: {'mean_probability': 0.9295771355708812, 'mean_log_probability': -0.13549358363213698, 'perplexity': 1.1451018484161637, 'min_probability': 0.037613216787576675, 'chars': 1291, 'words': 169}}"
